"init_id","title","init_text"
"09-0061","REQUIRES PARENTAL NOTIFICATION BEFORE TERMINATING PREGNANCY OF FEMALE UNDER 18. INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0061%20%28i858_initiative_09-0061%29.pdf"
"09-0060","REQUIRES WAITING PERIOD AND PARENTAL NOTIFICATION BEFORE TERMINATING PREGNANCY OF FEMALE UNDER 18.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0060%20%28i857_initiative_09-0060%29.pdf"
"09-0059","PROHIBITS VOTING BY THOSE WHO FAIL TO PROVIDE GOVERNMENT-ISSUED IDENTIFICATION.  ADDS ADDITIONAL ABSENTEE VOTING REQUIREMENTS.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0059%20%28i856_initiative_09-0059%29.pdf"
"09-0058","REPEALS RECENT LEGISLATION THAT WOULD ALLOW BUSINESSES TO CARRY BACK LOSSES, SHARE TAX CREDITS, AND USE A SALES-BASED INCOME CALCULATION TO LOWER TAXABLE INCOME.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0058%20%28i855_initiative_09-0058_amdt_1-ns%29.pdf"
"09-0057","CHANGES LEGISLATIVE VOTE REQUIREMENT TO PASS A BUDGET FROM TWO-THIRDS TO A SIMPLE MAJORITY.  RETAINS TWO-THIRDS VOTE REQUIREMENT FOR TAXES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0057%20%28i854_initiative_09-0057%29.pdf"
"09-0056","DENIAL OF PUBLIC BENEFITS FOR PERSONS WHO CANNOT VERIFY LAWFUL PRESENCE.  ELIMINATES BENEFITS FOR CERTAIN CHILDREN IN CalWORKS PROGRAM.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0056%20%28i853_initiative_09-0056%29.pdf"
"09-0055","IMPOSES POLITICAL CONTRIBUTION RESTRICTIONS ON PUBLIC EMPLOYEE LABOR ORGANIZATIONS.  INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0055%20%28i852_initiative_09-0055%29.pdf"
"09-0054","MAKES ILLEGAL THE USE OF PUBLIC EMPLOYEE WAGE DEDUCTIONS FOR POLITICAL ACTIVITIES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0054%20%28i851_initiative_09-0054%29.pdf"
"09-0053","REQUIRES WAITING PERIOD AND PARENTAL NOTIFICATION BEFORE TERMINATING PREGNANCY OF FEMALE UNDER 18.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0053%20%28i850_09-0053_amdt_1s%29.pdf"
"09-0052","CHANGES VOTER APPROVAL REQUIREMENT FOR LOCAL BONDS AND TAXES TO 55% FROM TWO-THIRDS SO LONG AS ACCOUNTABILITY REQUIREMENTS MET.  INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0052%20%28i849_initiative_09-0052%29.pdf"
"09-0051","CHANGES CALIFORNIA’S INCOME AND PROPERTY TAX LAWS. INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0051%20%28i848_initiative_09-0051_a1s%29.pdf"
"09-0050","LIMITS ON INSURANCE COMPANY PRACTICES. INITIATIVE STATUTE.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0050%20%28i847_initiative_09-0050%29.pdf"
"09-0049","CRIMINALIZES FALSE STATEMENTS ABOUT LEGISLATIVE ACTS, ELECTIONS, OR GOVERNMENT EMPLOYEES.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0049%20%28i846_initiative_09-0049%29.pdf"
"09-0048","LIMITS ON LEGISLATORS’ TERMS IN OFFICE.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0048%20%28i845_initiative_09-0048_%28a1s%29%29.pdf"
"09-0047","PROHIBITS PUBLIC SCHOOLS FROM ESTABLISHING EDUCATIONAL CURRICULUM.  INITIATIVE CONSTITUTIONAL AMENDMENT.","http://oag.ca.gov/system/files/initiatives/pdfs/09-0047%20%28i844_initiative_09-0047%29.pdf"
